年,品目大分類,品目分類,品目名(横),都道府県,品目名,農業団体(サンプル),未使用5,カウント
2015-01-01,2,7,豚,福岡県,豚,農業団体C,0,58
2015-01-01,2,7,鶏卵,福岡県,鶏卵,農業団体D,0,142
2015-01-01,2,7,ブロイラー,福岡県,ブロイラー,農業団体A,0,39
2015-01-01,2,7,その他の畜産物,福岡県,その他の畜産物,農業団体E,0,19
2015-01-01,2,8,加工農産物,福岡県,加工農産物,農業団体G,0,18
2015-01-01,1,1,米,佐賀県,米,農業団体C,0,249
2015-01-01,1,1,麦類,佐賀県,麦類,農業団体J,0,26
2015-01-01,1,1,雑穀,佐賀県,雑穀,農業団体H,0,0
2015-01-01,1,3,豆類,佐賀県,豆類,農業団体A,0,25
2015-01-01,1,2,いも類,佐賀県,いも類,農業団体A,0,5
2015-01-01,1,4,野菜,佐賀県,野菜,農業団体J,0,432
2015-01-01,1,4,果実,佐賀県,果実,農業団体B,0,177
2015-01-01,1,6,花き,佐賀県,花き,農業団体G,0,29
2015-01-01,1,5,工芸農作物,佐賀県,工芸農作物,農業団体F,0,21
2015-01-01,0,0,その他の作物,佐賀県,その他の作物,農業団体B,0,13
2015-01-01,2,7,肉用牛,佐賀県,肉用牛,農業団体E,0,147
2015-01-01,2,7,生乳,佐賀県,生乳,農業団体D,0,16
2015-01-01,2,7,生乳以外の乳用牛,佐賀県,生乳以外の乳用牛,農業団体G,0,2
2015-01-01,2,7,豚,佐賀県,豚,農業団体H,0,57
2015-01-01,2,7,鶏卵,佐賀県,鶏卵,農業団体F,0,17
2015-01-01,2,7,ブロイラー,佐賀県,ブロイラー,農業団体E,0,78
2015-01-01,2,7,その他の畜産物,佐賀県,その他の畜産物,農業団体B,0,2
2015-01-01,2,8,加工農産物,佐賀県,加工農産物,農業団体E,0,6
2015-01-01,1,1,米,長崎県,米,農業団体E,0,122
2015-01-01,1,1,麦類,長崎県,麦類,農業団体G,0,2
2015-01-01,1,1,雑穀,長崎県,雑穀,農業団体I,0,0
2015-01-01,1,3,豆類,長崎県,豆類,農業団体B,0,2
2015-01-01,1,2,いも類,長崎県,いも類,農業団体A,0,133
2015-01-01,1,4,野菜,長崎県,野菜,農業団体H,0,520
2015-01-01,1,4,果実,長崎県,果実,農業団体I,0,130
2015-01-01,1,6,花き,長崎県,花き,農業団体I,0,84
2015-01-01,1,5,工芸農作物,長崎県,工芸農作物,農業団体B,0,41
2015-01-01,0,0,その他の作物,長崎県,その他の作物,農業団体I,0,19
2015-01-01,2,7,肉用牛,長崎県,肉用牛,農業団体B,0,198
2015-01-01,2,7,生乳,長崎県,生乳,農業団体E,0,56
2015-01-01,2,7,生乳以外の乳用牛,長崎県,生乳以外の乳用牛,農業団体H,0,7
2015-01-01,2,7,豚,長崎県,豚,農業団体D,0,122
2015-01-01,2,7,鶏卵,長崎県,鶏卵,農業団体E,0,57
2015-01-01,2,7,ブロイラー,長崎県,ブロイラー,農業団体I,0,51
2015-01-01,2,7,その他の畜産物,長崎県,その他の畜産物,農業団体B,0,4
2015-01-01,2,8,加工農産物,長崎県,加工農産物,農業団体B,0,4
2015-01-01,1,1,米,熊本県,米,農業団体C,0,360
2015-01-01,1,1,麦類,熊本県,麦類,農業団体B,0,6
2015-01-01,1,1,雑穀,熊本県,雑穀,農業団体I,0,1
2015-01-01,1,3,豆類,熊本県,豆類,農業団体J,0,5
2015-01-01,1,2,いも類,熊本県,いも類,農業団体F,0,55
2015-01-01,1,4,野菜,熊本県,野菜,農業団体J,0,1273
2015-01-01,1,4,果実,熊本県,果実,農業団体D,0,263
2015-01-01,1,6,花き,熊本県,花き,農業団体C,0,106
2015-01-01,1,5,工芸農作物,熊本県,工芸農作物,農業団体B,0,96
2015-01-01,0,0,その他の作物,熊本県,その他の作物,農業団体C,0,39
2015-01-01,2,7,肉用牛,熊本県,肉用牛,農業団体H,0,376
2015-01-01,2,7,生乳,熊本県,生乳,農業団体B,0,260
2015-01-01,2,7,生乳以外の乳用牛,熊本県,生乳以外の乳用牛,農業団体J,0,40
2015-01-01,2,7,豚,熊本県,豚,農業団体G,0,209
2015-01-01,2,7,鶏卵,熊本県,鶏卵,農業団体F,0,94
2015-01-01,2,7,ブロイラー,熊本県,ブロイラー,農業団体A,0,75
2015-01-01,2,7,その他の畜産物,熊本県,その他の畜産物,農業団体A,0,62
2015-01-01,2,8,加工農産物,熊本県,加工農産物,農業団体C,0,28
2015-01-01,1,1,米,大分県,米,農業団体D,0,216
2015-01-01,1,1,麦類,大分県,麦類,農業団体G,0,3
2015-01-01,1,1,雑穀,大分県,雑穀,農業団体C,0,0
2015-01-01,1,3,豆類,大分県,豆類,農業団体F,0,3
2015-01-01,1,2,いも類,大分県,いも類,農業団体G,0,17
2015-01-01,1,4,野菜,大分県,野菜,農業団体A,0,366
2015-01-01,1,4,果実,大分県,果実,農業団体D,0,129
2015-01-01,1,6,花き,大分県,花き,農業団体I,0,55
2015-01-01,1,5,工芸農作物,大分県,工芸農作物,農業団体A,0,22
2015-01-01,0,0,その他の作物,大分県,その他の作物,農業団体G,0,10
2015-01-01,2,7,肉用牛,大分県,肉用牛,農業団体G,0,145
2015-01-01,2,7,生乳,大分県,生乳,農業団体J,0,82
2015-01-01,2,7,生乳以外の乳用牛,大分県,生乳以外の乳用牛,農業団体B,0,7
2015-01-01,2,7,豚,大分県,豚,農業団体G,0,91
2015-01-01,2,7,鶏卵,大分県,鶏卵,農業団体E,0,50
2015-01-01,2,7,ブロイラー,大分県,ブロイラー,農業団体E,0,63
2015-01-01,2,7,その他の畜産物,大分県,その他の畜産物,農業団体I,0,17
2015-01-01,2,8,加工農産物,大分県,加工農産物,農業団体F,0,11
2015-01-01,1,1,米,宮崎県,米,農業団体B,0,157
2015-01-01,1,1,麦類,宮崎県,麦類,農業団体H,0,0
2015-01-01,1,1,雑穀,宮崎県,雑穀,農業団体I,0,1
2015-01-01,1,3,豆類,宮崎県,豆類,農業団体C,0,1
2015-01-01,1,2,いも類,宮崎県,いも類,農業団体F,0,89
2015-01-01,1,4,野菜,宮崎県,野菜,農業団体F,0,777
2015-01-01,1,4,果実,宮崎県,果実,農業団体I,0,142
2015-01-01,1,6,花き,宮崎県,花き,農業団体J,0,69
2015-01-01,1,5,工芸農作物,宮崎県,工芸農作物,農業団体D,0,47
2015-01-01,0,0,その他の作物,宮崎県,その他の作物,農業団体H,0,20
2015-01-01,2,7,肉用牛,宮崎県,肉用牛,農業団体H,0,626
2015-01-01,2,7,生乳,宮崎県,生乳,農業団体H,0,85
2015-01-01,2,7,生乳以外の乳用牛,宮崎県,生乳以外の乳用牛,農業団体A,0,14
2015-01-01,2,7,豚,宮崎県,豚,農業団体A,0,494
2015-01-01,2,7,鶏卵,宮崎県,鶏卵,農業団体A,0,106
2015-01-01,2,7,ブロイラー,宮崎県,ブロイラー,農業団体J,0,718
2015-01-01,2,7,その他の畜産物,宮崎県,その他の畜産物,農業団体J,0,52
2015-01-01,2,8,加工農産物,宮崎県,加工農産物,農業団体C,0,28
2015-01-01,1,1,米,鹿児島県,米,農業団体I,0,191
2015-01-01,1,1,麦類,鹿児島県,麦類,農業団体D,0,0
2015-01-01,1,1,雑穀,鹿児島県,雑穀,農業団体B,0,2
2015-01-01,1,3,豆類,鹿児島県,豆類,農業団体B,0,1
2015-01-01,1,2,いも類,鹿児島県,いも類,農業団体F,0,240
2015-01-01,1,4,野菜,鹿児島県,野菜,農業団体J,0,557
2015-01-01,1,4,果実,鹿児島県,果実,農業団体F,0,85
2015-01-01,1,6,花き,鹿児島県,花き,農業団体A,0,136
2015-01-01,1,5,工芸農作物,鹿児島県,工芸農作物,農業団体F,0,267
2015-01-01,0,0,その他の作物,鹿児島県,その他の作物,農業団体H,0,22
2015-01-01,2,7,肉用牛,鹿児島県,肉用牛,農業団体C,0,1060
2015-01-01,2,7,生乳,鹿児島県,生乳,農業団体A,0,99
2015-01-01,2,7,生乳以外の乳用牛,鹿児島県,生乳以外の乳用牛,農業団体C,0,12
2015-01-01,2,7,豚,鹿児島県,豚,農業団体G,0,738
2015-01-01,2,7,鶏卵,鹿児島県,鶏卵,農業団体J,0,297
2015-01-01,2,7,ブロイラー,鹿児島県,ブロイラー,農業団体B,0,604
2015-01-01,2,7,その他の畜産物,鹿児島県,その他の畜産物,農業団体C,0,27
2015-01-01,2,8,加工農産物,鹿児島県,加工農産物,農業団体B,0,96
2015-01-01,1,1,米,沖縄県,米,農業団体B,0,5
2015-01-01,1,1,麦類,沖縄県,麦類,農業団体C,0,0
2015-01-01,1,1,雑穀,沖縄県,雑穀,農業団体D,0,1
2015-01-01,1,3,豆類,沖縄県,豆類,農業団体B,0,1
2015-01-01,1,2,いも類,沖縄県,いも類,農業団体C,0,10
2015-01-01,1,4,野菜,沖縄県,野菜,農業団体C,0,122
2015-01-01,1,4,果実,沖縄県,果実,農業団体B,0,57
2015-01-01,1,6,花き,沖縄県,花き,農業団体E,0,107
2015-01-01,1,5,工芸農作物,沖縄県,工芸農作物,農業団体E,0,196
2015-01-01,0,0,その他の作物,沖縄県,その他の作物,農業団体H,0,10
2015-01-01,2,7,肉用牛,沖縄県,肉用牛,農業団体I,0,187
2015-01-01,2,7,生乳,沖縄県,生乳,農業団体B,0,42
2015-01-01,2,7,生乳以外の乳用牛,沖縄県,生乳以外の乳用牛,農業団体E,0,3
2015-01-01,2,7,豚,沖縄県,豚,農業団体G,0,120
2015-01-01,2,7,鶏卵,沖縄県,鶏卵,農業団体H,0,55
2015-01-01,2,7,ブロイラー,沖縄県,ブロイラー,農業団体F,0,15
2015-01-01,2,7,その他の畜産物,沖縄県,その他の畜産物,農業団体B,0,3
2015-01-01,2,8,加工農産物,沖縄県,加工農産物,農業団体H,0,0
2016-01-01,1,1,米,北海道,米,農業団体H,0,1167
2016-01-01,1,1,麦類,北海道,麦類,農業団体I,0,165
2016-01-01,1,1,雑穀,北海道,雑穀,農業団体H,0,29
2016-01-01,1,3,豆類,北海道,豆類,農業団体E,0,196
2016-01-01,1,2,いも類,北海道,いも類,農業団体C,0,780
2016-01-01,1,4,野菜,北海道,野菜,農業団体E,0,2206
2016-01-01,1,4,果実,北海道,果実,農業団体J,0,61
2016-01-01,1,6,花き,北海道,花き,農業団体D,0,118
2016-01-01,1,5,工芸農作物,北海道,工芸農作物,農業団体H,0,363
2016-01-01,0,0,その他の作物,北海道,その他の作物,農業団体D,0,44
2016-01-01,2,7,肉用牛,北海道,肉用牛,農業団体G,0,1041
2016-01-01,2,7,生乳,北海道,生乳,農業団体F,0,3641
2016-01-01,2,7,生乳以外の乳用牛,北海道,生乳以外の乳用牛,農業団体I,0,1071
2016-01-01,2,7,豚,北海道,豚,農業団体B,0,424
2016-01-01,2,7,鶏卵,北海道,鶏卵,農業団体G,0,212
2016-01-01,2,7,ブロイラー,北海道,ブロイラー,農業団体H,0,164
2016-01-01,2,7,その他の畜産物,北海道,その他の畜産物,農業団体G,0,432
2016-01-01,1,1,米,青森県,米,農業団体D,0,466
2016-01-01,1,1,麦類,青森県,麦類,農業団体G,0,0
2016-01-01,1,1,雑穀,青森県,雑穀,農業団体H,0,1
2016-01-01,1,3,豆類,青森県,豆類,農業団体A,0,9
2016-01-01,1,2,いも類,青森県,いも類,農業団体G,0,24
2016-01-01,1,4,野菜,青森県,野菜,農業団体B,0,863
2016-01-01,1,4,果実,青森県,果実,農業団体A,0,854
2016-01-01,1,6,花き,青森県,花き,農業団体C,0,20
2016-01-01,1,5,工芸農作物,青森県,工芸農作物,農業団体E,0,48
2016-01-01,0,0,その他の作物,青森県,その他の作物,農業団体C,0,18
2016-01-01,2,7,肉用牛,青森県,肉用牛,農業団体A,0,166
2016-01-01,2,7,生乳,青森県,生乳,農業団体G,0,67
2016-01-01,2,7,生乳以外の乳用牛,青森県,生乳以外の乳用牛,農業団体A,0,11
2016-01-01,2,7,豚,青森県,豚,農業団体G,0,242
2016-01-01,2,7,鶏卵,青森県,鶏卵,農業団体G,0,198
2016-01-01,2,7,ブロイラー,青森県,ブロイラー,農業団体A,0,210
2016-01-01,2,7,その他の畜産物,青森県,その他の畜産物,農業団体F,0,24
2016-01-01,2,8,加工農産物,青森県,加工農産物,農業団体C,0,0
2016-01-01,1,1,米,岩手県,米,農業団体B,0,511
2016-01-01,1,1,麦類,岩手県,麦類,農業団体B,0,2
2016-01-01,1,1,雑穀,岩手県,雑穀,農業団体J,0,4
2016-01-01,1,3,豆類,岩手県,豆類,農業団体F,0,9
2016-01-01,1,2,いも類,岩手県,いも類,農業団体F,0,4
2016-01-01,1,4,野菜,岩手県,野菜,農業団体I,0,295
2016-01-01,1,4,果実,岩手県,果実,農業団体H,0,113
2016-01-01,1,6,花き,岩手県,花き,農業団体I,0,39
2016-01-01,1,5,工芸農作物,岩手県,工芸農作物,農業団体D,0,47
2016-01-01,0,0,その他の作物,岩手県,その他の作物,農業団体G,0,6
2016-01-01,2,7,肉用牛,岩手県,肉用牛,農業団体E,0,288
2016-01-01,2,7,生乳,岩手県,生乳,農業団体F,0,226
2016-01-01,2,7,生乳以外の乳用牛,岩手県,生乳以外の乳用牛,農業団体F,0,44
2016-01-01,2,7,豚,岩手県,豚,農業団体D,0,282
2016-01-01,2,7,鶏卵,岩手県,鶏卵,農業団体H,0,158
2016-01-01,2,7,ブロイラー,岩手県,ブロイラー,農業団体E,0,545
2016-01-01,2,7,その他の畜産物,岩手県,その他の畜産物,農業団体I,0,35
2016-01-01,2,8,加工農産物,岩手県,加工農産物,農業団体F,0,0
2016-01-01,1,1,米,宮城県,米,農業団体H,0,712
2016-01-01,1,1,麦類,宮城県,麦類,農業団体D,0,2
2016-01-01,1,1,雑穀,宮城県,雑穀,農業団体A,0,0
2016-01-01,1,3,豆類,宮城県,豆類,農業団体C,0,21
2016-01-01,1,2,いも類,宮城県,いも類,農業団体J,0,5
2016-01-01,1,4,野菜,宮城県,野菜,農業団体J,0,270
2016-01-01,1,4,果実,宮城県,果実,農業団体C,0,22
2016-01-01,1,6,花き,宮城県,花き,農業団体F,0,30
2016-01-01,1,5,工芸農作物,宮城県,工芸農作物,農業団体A,0,2
2016-01-01,0,0,その他の作物,宮城県,その他の作物,農業団体E,0,6
2016-01-01,2,7,肉用牛,宮城県,肉用牛,農業団体H,0,271
2016-01-01,2,7,生乳,宮城県,生乳,農業団体H,0,126
2016-01-01,2,7,生乳以外の乳用牛,宮城県,生乳以外の乳用牛,農業団体I,0,14
2016-01-01,2,7,豚,宮城県,豚,農業団体B,0,133
2016-01-01,2,7,鶏卵,宮城県,鶏卵,農業団体E,0,166
2016-01-01,2,7,ブロイラー,宮城県,ブロイラー,農業団体J,0,56
2016-01-01,2,7,その他の畜産物,宮城県,その他の畜産物,農業団体A,0,6
2016-01-01,2,8,加工農産物,宮城県,加工農産物,農業団体D,0,2
2016-01-01,1,1,米,秋田県,米,農業団体C,0,944
2016-01-01,1,1,雑穀,秋田県,雑穀,農業団体B,0,3
2016-01-01,1,3,豆類,秋田県,豆類,農業団体A,0,16
2016-01-01,1,2,いも類,秋田県,いも類,農業団体A,0,10
2016-01-01,1,4,野菜,秋田県,野菜,農業団体H,0,287
2016-01-01,1,4,果実,秋田県,果実,農業団体B,0,72
2016-01-01,1,6,花き,秋田県,花き,農業団体F,0,30
2016-01-01,1,5,工芸農作物,秋田県,工芸農作物,農業団体A,0,16
2016-01-01,2,7,肉用牛,秋田県,肉用牛,農業団体F,0,62
2016-01-01,2,7,生乳,秋田県,生乳,農業団体I,0,29
2016-01-01,2,7,生乳以外の乳用牛,秋田県,生乳以外の乳用牛,農業団体G,0,8
2016-01-01,2,7,豚,秋田県,豚,農業団体E,0,185
2016-01-01,2,7,鶏卵,秋田県,鶏卵,農業団体C,0,64
2016-01-01,2,8,加工農産物,秋田県,加工農産物,農業団体A,0,0
2016-01-01,1,1,米,山形県,米,農業団体C,0,804
2016-01-01,1,1,雑穀,山形県,雑穀,農業団体G,0,5
2016-01-01,1,3,豆類,山形県,豆類,農業団体I,0,9
2016-01-01,1,2,いも類,山形県,いも類,農業団体G,0,6
2016-01-01,1,4,野菜,山形県,野菜,農業団体B,0,423
2016-01-01,1,4,果実,山形県,果実,農業団体J,0,690
2016-01-01,1,6,花き,山形県,花き,農業団体F,0,72
2016-01-01,1,5,工芸農作物,山形県,工芸農作物,農業団体J,0,4
2016-01-01,2,7,肉用牛,山形県,肉用牛,農業団体B,0,115
2016-01-01,2,7,生乳,山形県,生乳,農業団体A,0,75
2016-01-01,2,7,生乳以外の乳用牛,山形県,生乳以外の乳用牛,農業団体G,0,14
2016-01-01,2,7,豚,山形県,豚,農業団体F,0,120
2016-01-01,2,7,鶏卵,山形県,鶏卵,農業団体A,0,22
2016-01-01,2,8,加工農産物,山形県,加工農産物,農業団体A,0,5
2016-01-01,1,1,米,福島県,米,農業団体D,0,692
2016-01-01,1,1,雑穀,福島県,雑穀,農業団体J,0,4
2016-01-01,1,3,豆類,福島県,豆類,農業団体B,0,3
2016-01-01,1,2,いも類,福島県,いも類,農業団体I,0,19
2016-01-01,1,4,野菜,福島県,野菜,農業団体A,0,482
2016-01-01,1,4,果実,福島県,果実,農業団体I,0,271
2016-01-01,1,6,花き,福島県,花き,農業団体H,0,74
2016-01-01,1,5,工芸農作物,福島県,工芸農作物,農業団体C,0,17
2016-01-01,2,7,肉用牛,福島県,肉用牛,農業団体B,0,145
2016-01-01,2,7,生乳,福島県,生乳,農業団体J,0,80
2016-01-01,2,7,生乳以外の乳用牛,福島県,生乳以外の乳用牛,農業団体H,0,16
2016-01-01,2,7,豚,福島県,豚,農業団体I,0,78
2016-01-01,2,7,鶏卵,福島県,鶏卵,農業団体G,0,146
2016-01-01,2,7,ブロイラー,福島県,ブロイラー,農業団体D,0,17
2016-01-01,2,7,その他の畜産物,福島県,その他の畜産物,農業団体D,0,15
2016-01-01,2,8,加工農産物,福島県,加工農産物,農業団体D,0,10
2016-01-01,1,1,米,茨城県,米,農業団体D,0,794
2016-01-01,1,1,麦類,茨城県,麦類,農業団体F,0,5
2016-01-01,1,1,雑穀,茨城県,雑穀,農業団体A,0,7
2016-01-01,1,3,豆類,茨城県,豆類,農業団体D,0,16
2016-01-01,1,2,いも類,茨城県,いも類,農業団体H,0,306
2016-01-01,1,4,野菜,茨城県,野菜,農業団体H,0,2150
2016-01-01,1,4,果実,茨城県,果実,農業団体C,0,126
2016-01-01,1,6,花き,茨城県,花き,農業団体E,0,140
2016-01-01,1,5,工芸農作物,茨城県,工芸農作物,農業団体J,0,14
2016-01-01,0,0,その他の作物,茨城県,その他の作物,農業団体H,0,10
2016-01-01,2,7,肉用牛,茨城県,肉用牛,農業団体B,0,169
2016-01-01,2,7,生乳,茨城県,生乳,農業団体I,0,171
2016-01-01,2,7,生乳以外の乳用牛,茨城県,生乳以外の乳用牛,農業団体E,0,25
2016-01-01,2,7,豚,茨城県,豚,農業団体D,0,384
2016-01-01,2,7,鶏卵,茨城県,鶏卵,農業団体J,0,447
2016-01-01,2,7,ブロイラー,茨城県,ブロイラー,農業団体D,0,38
2016-01-01,2,7,その他の畜産物,茨城県,その他の畜産物,農業団体J,0,22
2016-01-01,2,8,加工農産物,茨城県,加工農産物,農業団体D,0,78
2016-01-01,1,1,米,栃木県,米,農業団体F,0,608
2016-01-01,1,1,麦類,栃木県,麦類,農業団体H,0,42
2016-01-01,1,1,雑穀,栃木県,雑穀,農業団体A,0,8
2016-01-01,1,3,豆類,栃木県,豆類,農業団体I,0,8
2016-01-01,1,2,いも類,栃木県,いも類,農業団体D,0,15
2016-01-01,1,4,野菜,栃木県,野菜,農業団体I,0,964
2016-01-01,1,4,果実,栃木県,果実,農業団体B,0,89
2016-01-01,1,6,花き,栃木県,花き,農業団体E,0,80
2016-01-01,1,5,工芸農作物,栃木県,工芸農作物,農業団体J,0,7
2016-01-01,0,0,その他の作物,栃木県,その他の作物,農業団体F,0,13
2016-01-01,2,7,肉用牛,栃木県,肉用牛,農業団体F,0,211
2016-01-01,2,7,生乳,栃木県,生乳,農業団体I,0,349
2016-01-01,2,7,生乳以外の乳用牛,栃木県,生乳以外の乳用牛,農業団体H,0,60
2016-01-01,2,7,豚,栃木県,豚,農業団体H,0,256
2016-01-01,2,7,鶏卵,栃木県,鶏卵,農業団体I,0,124
2016-01-01,2,8,加工農産物,栃木県,加工農産物,農業団体B,0,10
2016-01-01,1,1,米,群馬県,米,農業団体I,0,152
2016-01-01,1,1,麦類,群馬県,麦類,農業団体F,0,12
2016-01-01,1,1,雑穀,群馬県,雑穀,農業団体C,0,1
2016-01-01,1,3,豆類,群馬県,豆類,農業団体A,0,3
2016-01-01,1,2,いも類,群馬県,いも類,農業団体F,0,13
2016-01-01,1,4,野菜,群馬県,野菜,農業団体A,0,1070
2016-01-01,1,4,果実,群馬県,果実,農業団体G,0,95
2016-01-01,1,6,花き,群馬県,花き,農業団体A,0,57
2016-01-01,1,5,工芸農作物,群馬県,工芸農作物,農業団体I,0,91
2016-01-01,0,0,その他の作物,群馬県,その他の作物,農業団体J,0,12
2016-01-01,2,7,肉用牛,群馬県,肉用牛,農業団体F,0,153
2016-01-01,2,7,生乳,群馬県,生乳,農業団体D,0,260
2016-01-01,2,7,生乳以外の乳用牛,群馬県,生乳以外の乳用牛,農業団体E,0,59
2016-01-01,2,7,豚,群馬県,豚,農業団体D,0,430
2016-01-01,2,7,鶏卵,群馬県,鶏卵,農業団体C,0,135
2016-01-01,2,7,ブロイラー,群馬県,ブロイラー,農業団体A,0,61
2016-01-01,2,7,その他の畜産物,群馬県,その他の畜産物,農業団体D,0,27
2016-01-01,2,8,加工農産物,群馬県,加工農産物,農業団体E,0,1
2016-01-01,1,1,米,埼玉県,米,農業団体D,0,382
2016-01-01,1,1,麦類,埼玉県,麦類,農業団体J,0,11
2016-01-01,1,1,雑穀,埼玉県,雑穀,農業団体J,0,1
2016-01-01,1,3,豆類,埼玉県,豆類,農業団体I,0,2
2016-01-01,1,2,いも類,埼玉県,いも類,農業団体F,0,30
2016-01-01,1,4,野菜,埼玉県,野菜,農業団体G,0,1047
2016-01-01,1,4,果実,埼玉県,果実,農業団体A,0,69
2016-01-01,1,6,花き,埼玉県,花き,農業団体F,0,178
2016-01-01,1,5,工芸農作物,埼玉県,工芸農作物,農業団体H,0,16
2016-01-01,0,0,その他の作物,埼玉県,その他の作物,農業団体C,0,15
2016-01-01,2,7,肉用牛,埼玉県,肉用牛,農業団体J,0,44
2016-01-01,2,7,生乳,埼玉県,生乳,農業団体I,0,69
2016-01-01,2,7,生乳以外の乳用牛,埼玉県,生乳以外の乳用牛,農業団体C,0,9
2016-01-01,2,7,豚,埼玉県,豚,農業団体I,0,71
2016-01-01,2,7,鶏卵,埼玉県,鶏卵,農業団体A,0,96
2016-01-01,2,8,加工農産物,埼玉県,加工農産物,農業団体A,0,1
2016-01-01,1,1,米,千葉県,米,農業団体E,0,666
2016-01-01,1,1,麦類,千葉県,麦類,農業団体J,0,1
2016-01-01,1,1,雑穀,千葉県,雑穀,農業団体G,0,0
2016-01-01,1,3,豆類,千葉県,豆類,農業団体H,0,101
2016-01-01,1,2,いも類,千葉県,いも類,農業団体J,0,235
2016-01-01,1,4,野菜,千葉県,野菜,農業団体E,0,1927
2016-01-01,1,4,果実,千葉県,果実,農業団体B,0,185
2016-01-01,1,6,花き,千葉県,花き,農業団体E,0,187
2016-01-01,1,5,工芸農作物,千葉県,工芸農作物,農業団体B,0,8
2016-01-01,0,0,その他の作物,千葉県,その他の作物,農業団体G,0,43
2016-01-01,2,7,肉用牛,千葉県,肉用牛,農業団体G,0,82
2016-01-01,2,7,生乳,千葉県,生乳,農業団体E,0,244
2016-01-01,2,7,生乳以外の乳用牛,千葉県,生乳以外の乳用牛,農業団体E,0,39
2016-01-01,2,7,豚,千葉県,豚,農業団体G,0,499
2016-01-01,2,7,鶏卵,千葉県,鶏卵,農業団体D,0,381
2016-01-01,2,7,ブロイラー,千葉県,ブロイラー,農業団体E,0,55
2016-01-01,2,7,その他の畜産物,千葉県,その他の畜産物,農業団体I,0,54
2016-01-01,2,8,加工農産物,千葉県,加工農産物,農業団体B,0,3
2016-01-01,1,1,米,東京都,米,農業団体D,0,1
2016-01-01,1,1,雑穀,東京都,雑穀,農業団体J,0,0
2016-01-01,1,3,豆類,東京都,豆類,農業団体J,0,0
2016-01-01,1,2,いも類,東京都,いも類,農業団体E,0,12
2016-01-01,1,4,野菜,東京都,野菜,農業団体J,0,171
2016-01-01,1,4,果実,東京都,果実,農業団体I,0,30
2016-01-01,1,6,花き,東京都,花き,農業団体I,0,44
2016-01-01,1,5,工芸農作物,東京都,工芸農作物,農業団体J,0,0
2016-01-01,2,7,肉用牛,東京都,肉用牛,農業団体E,0,2
2016-01-01,2,7,生乳,東京都,生乳,農業団体J,0,12
2016-01-01,2,7,生乳以外の乳用牛,東京都,生乳以外の乳用牛,農業団体A,0,1
2016-01-01,2,7,豚,東京都,豚,農業団体I,0,2
2016-01-01,2,7,鶏卵,東京都,鶏卵,農業団体C,0,3
2016-01-01,2,8,加工農産物,東京都,加工農産物,農業団体A,0,0
2016-01-01,1,1,米,神奈川県,米,農業団体B,0,32
2016-01-01,1,1,麦類,神奈川県,麦類,農業団体J,0,0
2016-01-01,1,1,雑穀,神奈川県,雑穀,農業団体I,0,0
2016-01-01,1,3,豆類,神奈川県,豆類,農業団体I,0,3
2016-01-01,1,2,いも類,神奈川県,いも類,農業団体D,0,19
2016-01-01,1,4,野菜,神奈川県,野菜,農業団体C,0,476
2016-01-01,1,4,果実,神奈川県,果実,農業団体I,0,86
2016-01-01,1,6,花き,神奈川県,花き,農業団体J,0,51
2016-01-01,1,5,工芸農作物,神奈川県,工芸農作物,農業団体J,0,2
2016-01-01,0,0,その他の作物,神奈川県,その他の作物,農業団体J,0,9
2016-01-01,2,7,肉用牛,神奈川県,肉用牛,農業団体C,0,12
2016-01-01,2,7,生乳,神奈川県,生乳,農業団体F,0,44
2016-01-01,2,7,生乳以外の乳用牛,神奈川県,生乳以外の乳用牛,農業団体I,0,7
2016-01-01,2,7,豚,神奈川県,豚,農業団体G,0,54
2016-01-01,2,7,鶏卵,神奈川県,鶏卵,農業団体I,0,47
2016-01-01,2,8,加工農産物,神奈川県,加工農産物,農業団体I,0,3
2016-01-01,1,1,米,新潟県,米,農業団体J,0,1484
2016-01-01,1,1,雑穀,新潟県,雑穀,農業団体D,0,1
2016-01-01,1,3,豆類,新潟県,豆類,農業団体H,0,14
2016-01-01,1,2,いも類,新潟県,いも類,農業団体H,0,23
2016-01-01,1,4,野菜,新潟県,野菜,農業団体G,0,386
2016-01-01,1,4,果実,新潟県,果実,農業団体I,0,80
2016-01-01,1,6,花き,新潟県,花き,農業団体E,0,80
2016-01-01,1,5,工芸農作物,新潟県,工芸農作物,農業団体I,0,12
2016-01-01,2,7,肉用牛,新潟県,肉用牛,農業団体A,0,33
2016-01-01,2,7,生乳,新潟県,生乳,農業団体B,0,58
2016-01-01,2,7,生乳以外の乳用牛,新潟県,生乳以外の乳用牛,農業団体F,0,10
2016-01-01,2,7,豚,新潟県,豚,農業団体E,0,130
2016-01-01,2,7,鶏卵,新潟県,鶏卵,農業団体I,0,202
2016-01-01,2,7,ブロイラー,新潟県,ブロイラー,農業団体F,0,19
2016-01-01,2,7,その他の畜産物,新潟県,その他の畜産物,農業団体D,0,48
2016-01-01,2,8,加工農産物,新潟県,加工農産物,農業団体E,0,1
2016-01-01,1,1,米,富山県,米,農業団体G,0,448
2016-01-01,1,1,麦類,富山県,麦類,農業団体I,0,3
2016-01-01,1,1,雑穀,富山県,雑穀,農業団体H,0,2
2016-01-01,1,3,豆類,富山県,豆類,農業団体D,0,9
2016-01-01,1,2,いも類,富山県,いも類,農業団体F,0,3
