日付,🔖性別,年齢,🔖好きな季節,🔖居住タイプ,🔖教育レベル,🔖好みのアクティビティ,未使用,カウント,山までの距離(マイル),ビーチまでの距離(マイル),旅行頻度,年収($),休暇予算($),🔖ペット,🔖環境への懸念
2024-09-01,2,20,fall,urban,master,hiking,,,186,263,8,72186,1266,1,1
2024-09-01,1,34,spring,suburban,high school,hiking,,,83,23,2,89205,1497,0,0
2024-09-01,2,19,summer,rural,bachelor,swimming,,,223,262,2,91142,3353,0,0
2024-09-01,2,32,spring,rural,high school,skiing,,,11,228,0,90143,4192,0,1
2024-09-01,2,63,fall,rural,high school,skiing,,,72,47,5,92367,3181,1,1
2024-09-01,1,46,summer,urban,doctorate,hiking,,,238,185,9,75506,3435,1,0
2024-09-01,2,67,winter,suburban,high school,skiing,,,255,210,9,65702,4133,0,1
2024-09-01,0,65,winter,suburban,bachelor,sunbathing,,,76,211,6,116322,2219,0,1
2024-09-01,0,69,spring,rural,doctorate,sunbathing,,,61,127,9,39195,1391,0,1
2024-09-01,2,39,spring,rural,bachelor,swimming,,,50,282,8,63809,4110,0,1
2024-09-01,0,21,spring,suburban,bachelor,sunbathing,,,94,8,5,65160,1261,0,1
2024-09-01,0,69,spring,suburban,bachelor,hiking,,,280,254,2,105060,4521,1,0
2024-09-01,1,23,winter,suburban,master,swimming,,,52,292,9,112482,3524,0,0
2024-09-01,2,55,fall,urban,high school,skiing,,,35,35,5,28791,4444,1,1
2024-09-01,2,43,fall,suburban,high school,sunbathing,,,107,207,7,118010,2093,1,1
2024-09-01,0,28,fall,rural,doctorate,sunbathing,,,189,92,7,118930,1533,0,1
2024-09-01,2,43,winter,rural,bachelor,skiing,,,235,246,0,86858,4194,0,0
2024-09-01,2,34,spring,suburban,high school,sunbathing,,,111,1,9,76852,4270,0,0
2024-09-01,0,41,fall,rural,doctorate,sunbathing,,,248,42,8,42027,3318,0,0
2024-09-01,0,45,spring,rural,master,hiking,,,218,283,3,28223,2128,1,1
2024-09-01,2,52,fall,rural,bachelor,hiking,,,70,33,7,93390,3485,1,0
2024-09-01,1,48,winter,rural,doctorate,sunbathing,,,163,4,8,21392,850,1,1
2024-09-01,0,30,spring,suburban,doctorate,hiking,,,51,288,2,119681,574,0,0
2024-09-01,2,52,spring,suburban,master,hiking,,,263,19,0,57312,2507,1,1
2024-09-01,0,33,fall,rural,doctorate,skiing,,,99,226,3,93539,3932,0,1
2024-09-01,2,32,winter,rural,master,hiking,,,127,176,5,25904,2943,0,1
2024-09-01,2,60,spring,rural,master,skiing,,,176,284,7,23934,807,1,1
2024-09-01,1,35,winter,suburban,master,sunbathing,,,235,115,2,98182,3928,1,1
2024-09-01,0,64,summer,urban,high school,skiing,,,38,59,2,76167,2689,1,1
2024-09-01,1,54,winter,urban,master,sunbathing,,,76,149,1,27328,1039,0,1
2024-09-01,0,65,spring,suburban,high school,swimming,,,143,128,1,71391,4183,1,0
2024-09-01,1,65,fall,rural,bachelor,skiing,,,173,290,5,20475,4103,1,1
2024-09-01,0,66,fall,rural,bachelor,skiing,,,145,292,0,97961,1169,0,0
2024-09-01,1,58,spring,urban,high school,hiking,,,152,105,4,71710,4156,0,0
2024-09-01,1,44,summer,urban,doctorate,sunbathing,,,142,269,0,63976,4528,1,0
2024-09-01,0,52,summer,urban,master,hiking,,,129,106,8,94201,650,0,1
2024-09-01,1,69,winter,suburban,doctorate,sunbathing,,,68,45,9,77840,3612,0,1
2024-09-01,1,62,winter,suburban,doctorate,swimming,,,143,214,1,77453,2667,1,0
2024-09-01,0,52,fall,rural,master,hiking,,,264,267,8,20801,1842,1,1
2024-09-01,0,45,spring,rural,master,hiking,,,15,152,1,54265,4989,1,1
2024-09-01,2,56,spring,suburban,high school,swimming,,,235,133,1,37764,978,0,1
2024-09-01,0,55,fall,rural,master,hiking,,,52,225,8,46078,1166,0,0
2024-09-01,2,26,winter,rural,doctorate,sunbathing,,,232,14,5,50702,4361,0,1
2024-09-01,1,29,fall,urban,high school,hiking,,,119,279,0,29509,2767,0,1
2024-09-01,0,32,fall,suburban,high school,hiking,,,179,204,3,43087,1013,0,0
2024-09-01,2,38,summer,suburban,bachelor,swimming,,,81,53,5,68554,3451,1,1
2024-09-01,0,69,summer,suburban,bachelor,hiking,,,128,259,9,36411,2985,1,1
2024-09-01,2,52,spring,rural,bachelor,sunbathing,,,225,149,3,90568,671,1,1
2024-09-01,2,59,summer,urban,bachelor,hiking,,,134,4,9,45835,960,0,0
2024-09-01,0,50,winter,urban,high school,hiking,,,185,130,3,57351,2904,1,0
2024-09-01,1,68,winter,urban,bachelor,hiking,,,190,275,7,96727,3411,1,1
2024-09-01,1,36,winter,suburban,master,hiking,,,54,92,6,84464,4329,0,0
2024-09-01,2,40,spring,rural,high school,swimming,,,132,98,5,66457,4169,0,1
2024-09-01,2,30,winter,urban,high school,swimming,,,87,87,0,116843,2728,1,0
2024-09-01,1,61,summer,urban,bachelor,sunbathing,,,114,5,9,22010,3441,0,0
2024-09-01,0,18,fall,suburban,high school,sunbathing,,,237,98,3,39515,1901,1,1
2024-09-01,0,68,summer,urban,master,sunbathing,,,238,5,9,40704,2156,1,0
2024-09-01,1,46,winter,urban,master,sunbathing,,,292,220,2,111588,3933,0,0
2024-09-01,1,41,summer,suburban,bachelor,skiing,,,215,196,0,97875,4681,1,0
2024-09-01,1,33,winter,urban,doctorate,skiing,,,189,112,6,93316,1627,0,1
2024-09-01,2,42,winter,urban,high school,hiking,,,164,296,5,28923,2451,0,1
2024-09-01,1,40,winter,suburban,high school,sunbathing,,,248,148,1,100121,2054,1,1
2024-09-01,1,45,spring,rural,master,skiing,,,60,20,8,79351,1285,1,1
2024-09-01,1,64,fall,rural,master,hiking,,,146,32,3,111859,1310,0,0
2024-09-01,1,33,spring,urban,master,skiing,,,265,184,4,42951,2692,0,1
2024-09-01,0,60,spring,suburban,doctorate,hiking,,,287,117,1,38473,915,0,1
2024-09-01,0,55,winter,suburban,high school,swimming,,,196,120,4,58308,2137,1,1
2024-09-01,1,28,summer,urban,bachelor,hiking,,,260,122,2,61939,4419,0,1
2024-09-01,2,20,summer,suburban,master,sunbathing,,,136,295,7,66486,2407,1,1
2024-09-01,2,32,spring,rural,doctorate,sunbathing,,,39,135,2,81762,4398,0,0
2024-09-01,0,18,summer,rural,doctorate,swimming,,,60,299,1,24420,2083,0,1
2024-09-01,2,24,summer,rural,master,swimming,,,95,108,2,108398,667,0,0
2024-09-01,2,18,fall,urban,master,sunbathing,,,93,252,8,73869,1116,1,0
2024-09-01,0,66,fall,suburban,bachelor,hiking,,,174,206,7,110228,2049,0,0
2024-09-01,1,49,fall,rural,high school,hiking,,,39,280,1,86116,723,1,1
2024-09-01,1,26,fall,rural,master,skiing,,,188,268,2,46873,2287,1,0
2024-09-01,0,46,spring,urban,doctorate,swimming,,,208,245,4,78854,4823,0,0
2024-09-01,1,43,fall,urban,doctorate,hiking,,,217,178,6,69337,887,0,0
2024-09-01,1,40,fall,urban,doctorate,hiking,,,174,292,0,21766,3362,1,1
2024-09-01,0,62,fall,rural,bachelor,swimming,,,25,219,3,72727,2915,1,0
2024-09-01,0,60,summer,suburban,doctorate,swimming,,,55,157,9,44406,3444,1,0
2024-09-01,0,46,spring,suburban,master,hiking,,,159,22,4,65486,3449,1,1
2024-09-01,2,69,fall,rural,high school,hiking,,,148,184,9,103728,1816,0,1
2024-09-01,0,55,winter,rural,bachelor,skiing,,,86,86,8,37800,4724,0,1
2024-09-01,0,50,fall,urban,high school,hiking,,,165,109,2,82275,2433,0,1
2024-09-01,0,24,fall,suburban,doctorate,swimming,,,197,2,5,74557,4280,0,1
2024-09-01,0,29,fall,suburban,high school,sunbathing,,,101,176,8,91518,2595,0,1
2024-09-01,1,48,fall,urban,master,hiking,,,98,67,2,23644,1946,0,1
2024-09-01,0,49,summer,suburban,bachelor,sunbathing,,,114,163,9,114137,4959,0,0
2024-09-01,0,37,spring,rural,high school,skiing,,,17,117,2,86970,3243,1,0
2024-09-01,2,68,summer,suburban,doctorate,swimming,,,220,246,6,61276,4041,0,1
2024-09-01,2,34,winter,rural,master,hiking,,,139,148,7,76311,1007,0,0
2024-09-01,1,53,winter,suburban,doctorate,sunbathing,,,237,185,3,49048,2887,1,1
2024-09-01,0,20,fall,rural,master,skiing,,,32,59,1,79688,2197,1,0
2024-09-01,0,18,fall,rural,bachelor,skiing,,,19,264,6,35561,4981,1,0
2024-09-01,0,67,summer,suburban,master,hiking,,,211,210,5,66679,3371,0,1
2024-09-01,2,44,summer,suburban,master,hiking,,,163,34,0,51187,825,0,0
2024-09-01,1,64,summer,suburban,high school,skiing,,,182,294,1,84079,3454,1,0
2024-09-01,2,57,summer,rural,high school,swimming,,,76,260,6,112776,2253,1,1
2024-09-01,0,50,fall,rural,high school,skiing,,,28,218,8,116805,2438,0,0
2024-09-01,2,37,fall,urban,master,swimming,,,112,76,5,36315,3774,0,0
2024-09-01,0,31,winter,urban,bachelor,hiking,,,110,178,7,81429,833,0,0
2024-09-01,0,53,spring,urban,master,hiking,,,107,252,4,89355,3519,0,0
2024-09-01,0,22,fall,urban,doctorate,swimming,,,224,83,6,54992,2056,1,0
2024-09-01,1,40,spring,suburban,doctorate,skiing,,,146,104,5,21769,3025,0,0
2024-09-01,2,62,spring,urban,bachelor,skiing,,,166,199,1,22961,2728,0,0
2024-09-01,0,32,winter,suburban,bachelor,skiing,,,177,143,9,117634,4127,0,1
2024-09-01,0,23,spring,suburban,bachelor,swimming,,,244,282,5,80125,874,1,1
2024-09-01,1,50,winter,urban,doctorate,swimming,,,275,277,9,24580,4703,0,0
2024-09-01,1,36,winter,urban,doctorate,skiing,,,143,105,6,81188,4788,1,1
2024-09-01,0,30,spring,suburban,high school,sunbathing,,,260,189,3,28842,2245,0,0
2024-09-01,0,46,fall,rural,doctorate,swimming,,,49,258,2,112163,3263,1,0
2024-09-01,0,23,fall,urban,high school,hiking,,,22,247,9,100228,1281,1,0
2024-09-01,0,32,summer,urban,bachelor,sunbathing,,,208,297,8,87442,1225,0,1
2024-09-01,1,33,winter,suburban,master,skiing,,,22,215,5,35883,4548,1,0
2024-09-01,2,41,summer,urban,master,swimming,,,59,234,9,50512,960,1,1
2024-09-01,1,40,spring,suburban,high school,sunbathing,,,92,297,1,106638,3828,1,1
2024-09-01,1,65,spring,rural,doctorate,swimming,,,54,8,8,78651,3976,1,0
2024-09-01,2,27,summer,urban,bachelor,swimming,,,55,54,2,49913,2812,1,1
2024-09-01,0,58,winter,rural,master,sunbathing,,,238,35,9,109377,2399,0,0
2024-09-01,0,58,spring,rural,bachelor,skiing,,,124,174,3,114135,1662,1,0
2024-09-01,2,66,winter,urban,master,skiing,,,0,18,4,73440,4106,1,1
2024-09-01,1,34,summer,suburban,doctorate,swimming,,,68,228,0,76224,516,1,0
2024-09-01,0,66,winter,suburban,bachelor,hiking,,,88,81,3,83918,3278,0,0
2024-09-01,2,61,winter,rural,doctorate,swimming,,,62,81,7,111169,976,0,0
2024-09-01,2,62,fall,rural,bachelor,skiing,,,80,162,4,112231,2658,0,0
2024-09-01,2,47,summer,urban,master,skiing,,,193,117,2,85551,3149,0,1
2024-09-01,0,61,fall,suburban,master,swimming,,,115,193,6,25391,1424,1,0
2024-09-01,2,63,spring,rural,bachelor,swimming,,,118,155,0,67987,1493,0,1
2024-09-01,1,27,fall,suburban,master,skiing,,,235,186,2,92562,4918,0,1
2024-09-01,1,36,spring,suburban,bachelor,sunbathing,,,93,125,4,50177,4767,0,0
2024-09-01,2,46,winter,suburban,high school,sunbathing,,,11,235,8,31347,2219,1,1
2024-09-01,2,19,fall,urban,bachelor,hiking,,,183,163,4,53933,1157,1,0
2024-09-01,2,53,summer,suburban,doctorate,skiing,,,289,132,3,106649,2292,1,1
2024-09-01,1,36,spring,rural,doctorate,sunbathing,,,68,194,7,116058,4712,1,0
2024-09-01,0,24,winter,suburban,master,skiing,,,158,161,3,22749,4821,0,1
2024-09-01,1,43,summer,urban,master,sunbathing,,,189,136,4,96225,844,1,1
2024-09-01,2,32,summer,urban,master,swimming,,,205,134,4,75698,1685,1,0
2024-09-01,0,64,spring,urban,high school,hiking,,,236,280,2,60636,4494,1,1
2024-09-01,0,55,summer,urban,high school,sunbathing,,,143,143,8,74209,1964,1,0
2024-09-01,2,20,winter,suburban,bachelor,swimming,,,162,161,0,60210,3722,0,1
2024-09-01,2,55,spring,suburban,master,sunbathing,,,79,145,6,72603,3369,1,1
2024-09-01,1,33,spring,urban,bachelor,hiking,,,220,19,7,101389,2515,0,0
2024-09-01,1,19,fall,suburban,bachelor,swimming,,,83,170,8,117151,1871,0,1
2024-09-01,1,48,winter,rural,master,swimming,,,256,194,4,82768,4350,0,1
2024-09-01,2,45,fall,suburban,master,skiing,,,45,44,9,72207,1193,1,1
2024-09-01,0,24,fall,rural,doctorate,swimming,,,212,243,4,61680,1226,0,0
2024-09-01,1,47,fall,suburban,master,swimming,,,167,275,0,104509,1075,0,0
2024-09-01,2,60,winter,urban,doctorate,sunbathing,,,80,200,7,78936,4975,1,0
2024-09-01,0,24,fall,urban,high school,skiing,,,10,249,5,116340,1208,0,1
2024-09-01,2,53,fall,urban,doctorate,skiing,,,153,189,0,115523,2087,1,1
2024-09-01,2,46,summer,rural,bachelor,swimming,,,176,61,7,22727,1644,0,1
2024-09-01,2,41,spring,rural,bachelor,sunbathing,,,53,147,4,74043,1605,0,1
2024-09-01,1,69,fall,suburban,high school,swimming,,,105,31,4,102605,527,0,1
2024-09-01,2,56,summer,rural,high school,skiing,,,138,182,5,40936,797,0,1
2024-09-01,2,21,spring,suburban,bachelor,hiking,,,164,59,4,41713,1492,1,1
2024-09-01,2,46,winter,urban,doctorate,skiing,,,175,47,8,22775,1195,1,0
2024-09-01,1,61,winter,suburban,high school,hiking,,,119,48,6,77887,2136,0,0
2024-09-01,2,22,summer,rural,high school,hiking,,,194,210,8,26585,3250,1,1
2024-09-01,2,46,spring,rural,master,swimming,,,279,267,2,58219,4516,1,1
2024-09-01,1,47,spring,urban,bachelor,hiking,,,117,220,9,96513,1861,1,1
2024-09-01,2,46,spring,suburban,master,swimming,,,137,124,8,95417,3514,1,0
2024-09-01,0,43,winter,urban,high school,swimming,,,58,224,9,90852,1689,1,0
2024-09-01,2,36,fall,urban,master,swimming,,,246,51,6,26230,812,0,0
2024-09-01,2,43,winter,rural,bachelor,hiking,,,2,89,0,24973,2290,1,1
2024-09-01,1,54,winter,suburban,bachelor,sunbathing,,,151,120,8,99438,1393,1,1
2024-09-01,1,44,spring,suburban,bachelor,skiing,,,148,165,7,62527,924,1,1
2024-09-01,1,47,spring,rural,doctorate,sunbathing,,,133,184,4,69337,2756,0,0
2024-09-01,1,68,spring,urban,high school,hiking,,,10,141,0,89964,3942,0,1
2024-09-01,0,47,fall,urban,master,hiking,,,272,63,6,96670,2589,1,0
2024-09-01,2,20,fall,suburban,high school,swimming,,,240,170,2,41874,4248,1,1
2024-09-01,2,60,spring,rural,master,sunbathing,,,41,71,4,55680,2868,0,1
2024-09-01,0,24,summer,rural,high school,sunbathing,,,291,43,0,62951,3885,1,0
2024-09-01,1,66,spring,suburban,doctorate,sunbathing,,,79,159,4,64239,2576,0,1
2024-09-01,2,26,winter,suburban,high school,swimming,,,281,235,0,31126,2363,0,0
2024-09-01,0,58,winter,rural,bachelor,skiing,,,49,250,0,32582,1407,0,0
2024-09-01,2,59,fall,suburban,master,swimming,,,259,182,1,39151,2211,0,0
2024-09-01,0,30,fall,rural,master,sunbathing,,,22,78,4,57676,4198,0,1
2024-09-01,0,32,summer,urban,master,hiking,,,141,33,3,48812,1704,0,1
2024-09-01,2,22,winter,suburban,bachelor,hiking,,,212,44,2,51801,1793,1,0
2024-09-01,1,46,fall,urban,doctorate,hiking,,,260,242,8,20914,1871,0,1
2024-09-01,1,52,summer,urban,high school,swimming,,,233,73,0,63210,3725,0,0
2024-09-01,0,44,winter,urban,doctorate,sunbathing,,,283,223,4,119162,1275,1,1
2024-09-01,1,44,summer,rural,master,sunbathing,,,227,76,0,37103,2419,0,0
2024-09-01,2,25,spring,urban,master,hiking,,,192,257,7,71080,1628,1,0
2024-09-01,0,49,spring,suburban,doctorate,skiing,,,262,62,2,114540,1031,0,1
2024-09-01,2,37,winter,urban,master,swimming,,,29,165,2,102066,3601,0,0
2024-09-01,2,27,fall,urban,high school,swimming,,,76,277,2,108029,1495,0,1
2024-09-01,1,30,spring,rural,master,skiing,,,175,75,5,99158,950,1,1
2024-09-01,2,46,spring,rural,master,sunbathing,,,251,264,2,92442,807,0,1
2024-09-01,0,52,winter,urban,high school,sunbathing,,,37,239,6,88982,1188,1,1
2024-09-01,0,25,fall,rural,doctorate,skiing,,,75,298,8,58544,2689,0,1
2024-09-01,2,46,fall,rural,master,hiking,,,18,114,7,109053,2229,0,0
2024-09-01,2,48,summer,suburban,doctorate,swimming,,,90,127,1,28156,4073,0,1
2024-09-01,0,58,spring,urban,bachelor,sunbathing,,,153,255,8,96603,3981,0,0
2024-09-01,1,47,winter,rural,high school,swimming,,,82,22,2,80201,1140,0,0
2024-09-01,1,39,winter,rural,bachelor,sunbathing,,,250,55,9,30289,3195,1,1
2024-09-01,1,38,winter,urban,master,sunbathing,,,220,104,2,61026,3440,1,1
2024-09-01,2,29,fall,suburban,bachelor,hiking,,,172,298,3,29216,770,0,1
2024-09-01,2,28,spring,urban,doctorate,sunbathing,,,287,238,7,22180,2794,0,1
2024-09-01,0,19,winter,urban,high school,hiking,,,218,258,8,105344,4736,0,1
2024-09-01,0,67,spring,rural,high school,hiking,,,182,194,2,59293,4421,0,1
2024-09-01,0,58,fall,rural,high school,sunbathing,,,214,219,5,68038,2280,1,1
2024-09-01,0,19,fall,rural,high school,hiking,,,86,92,3,29814,3442,1,1
2024-09-01,1,51,fall,urban,master,sunbathing,,,268,270,5,71857,2217,1,1
2024-09-01,2,20,spring,rural,doctorate,hiking,,,256,161,5,57886,4824,0,1
2024-09-01,2,33,winter,suburban,master,swimming,,,81,5,4,69219,4448,0,1
2024-09-01,1,68,summer,urban,high school,hiking,,,121,275,8,45448,3243,0,1
2024-09-01,0,21,summer,suburban,doctorate,sunbathing,,,149,237,2,24192,3909,1,1
2024-09-01,0,40,fall,suburban,master,sunbathing,,,69,267,4,45049,1405,1,0
2024-09-01,2,67,winter,rural,bachelor,swimming,,,204,298,4,80181,2033,1,1
2024-09-01,0,37,winter,rural,doctorate,sunbathing,,,72,270,3,55613,1117,0,0
2024-09-01,2,42,winter,suburban,doctorate,sunbathing,,,62,271,4,85113,4907,1,1
2024-09-01,1,47,summer,suburban,bachelor,hiking,,,114,126,2,31008,4388,0,0
2024-09-01,2,35,fall,urban,high school,swimming,,,18,82,5,79461,3276,1,1
2024-09-01,1,59,summer,suburban,bachelor,skiing,,,102,2,3,71934,4975,1,0
2024-09-01,0,28,spring,rural,doctorate,sunbathing,,,233,198,9,108047,4775,1,1
2024-09-01,2,46,summer,suburban,bachelor,sunbathing,,,106,299,4,111442,2515,1,1
2024-09-01,0,34,fall,urban,bachelor,skiing,,,29,70,3,65891,3883,1,0
2024-09-01,0,43,fall,rural,high school,skiing,,,105,9,2,36969,3914,1,1
2024-09-01,0,40,fall,rural,bachelor,hiking,,,61,131,1,72412,1850,0,1
2024-09-01,2,69,winter,suburban,high school,hiking,,,123,80,1,43727,2631,0,0
2024-09-01,0,65,summer,rural,doctorate,hiking,,,150,62,3,30548,517,1,1
2024-09-01,2,37,spring,urban,master,skiing,,,293,225,6,108865,966,0,1
2024-09-01,0,62,winter,suburban,bachelor,hiking,,,30,191,5,48885,1826,1,1
2024-09-01,1,19,winter,suburban,bachelor,skiing,,,49,291,8,115731,1970,0,0
2024-09-01,2,41,winter,urban,doctorate,sunbathing,,,193,58,8,39966,4745,1,0
2024-09-01,1,48,winter,urban,doctorate,sunbathing,,,249,176,8,102773,2802,0,1
2024-09-01,1,44,spring,suburban,master,swimming,,,164,157,3,85670,3167,1,0
2024-09-01,2,19,fall,rural,master,hiking,,,51,45,5,63046,3817,1,1
2024-09-01,2,31,spring,suburban,high school,sunbathing,,,112,194,0,106820,2171,1,0
2024-09-01,2,21,summer,urban,bachelor,swimming,,,154,218,9,101334,2248,0,1
2024-09-01,0,66,fall,rural,doctorate,swimming,,,40,173,9,42798,3921,1,0
2024-09-01,0,30,fall,suburban,master,sunbathing,,,94,19,5,80489,656,1,0
2024-09-01,1,53,summer,urban,bachelor,swimming,,,203,129,7,20383,2181,1,1
2024-09-01,2,52,summer,rural,master,skiing,,,197,212,3,86148,4875,1,0
2024-09-01,1,61,fall,urban,bachelor,sunbathing,,,178,188,7,41181,4937,1,0
2024-09-01,0,25,fall,rural,doctorate,swimming,,,28,295,8,90257,2820,1,1
2024-09-01,1,19,spring,rural,master,hiking,,,149,73,8,33635,1964,0,0
2024-09-01,1,23,spring,urban,master,hiking,,,284,122,0,52689,1514,0,0
2024-09-01,2,48,summer,urban,master,skiing,,,14,33,1,73160,3726,1,0
2024-09-01,2,27,winter,suburban,master,swimming,,,2,167,5,59996,3209,1,0
2024-09-01,1,61,spring,rural,bachelor,skiing,,,268,20,0,20155,3664,1,1
2024-09-01,0,38,winter,urban,master,swimming,,,247,10,6,71440,3328,1,0
2024-09-01,1,59,summer,suburban,bachelor,hiking,,,176,153,3,49163,2859,0,0
2024-09-01,0,27,fall,urban,bachelor,skiing,,,131,132,3,98575,2156,0,1
2024-09-01,1,40,summer,rural,master,hiking,,,103,103,5,37399,1862,0,1
2024-09-01,1,20,summer,suburban,master,skiing,,,30,276,0,114498,1630,1,1
2024-09-01,2,49,summer,urban,master,sunbathing,,,123,228,1,75122,4667,1,1
2024-09-01,1,37,summer,urban,doctorate,skiing,,,115,36,9,93461,3708,1,1
2024-09-01,0,27,winter,rural,bachelor,swimming,,,128,28,9,93140,2894,1,1
2024-09-01,1,46,summer,suburban,bachelor,sunbathing,,,176,227,0,79347,1453,0,1
2024-09-01,1,58,spring,suburban,master,swimming,,,182,211,6,73216,3731,1,0
2024-09-01,0,69,spring,urban,high school,sunbathing,,,192,110,0,21338,1232,1,1
2024-09-01,1,68,winter,rural,doctorate,swimming,,,134,36,4,58254,642,1,1
2024-09-01,1,63,spring,suburban,bachelor,hiking,,,231,19,4,116896,3120,1,0
2024-09-01,1,51,summer,urban,doctorate,skiing,,,200,160,0,108808,2744,0,0
2024-09-01,1,54,summer,urban,doctorate,hiking,,,7,62,9,47629,1542,1,1
2024-09-01,0,37,winter,suburban,doctorate,hiking,,,123,233,6,95794,994,0,1
2024-09-01,0,25,summer,urban,bachelor,swimming,,,250,34,1,45263,4275,1,0
2024-09-01,0,24,spring,urban,master,sunbathing,,,234,84,0,91088,2644,1,0
2024-09-01,0,23,summer,rural,high school,swimming,,,61,163,9,34536,4076,0,0
2024-09-01,1,28,winter,suburban,master,swimming,,,67,213,6,92461,4223,1,0
2024-09-01,0,61,spring,urban,high school,swimming,,,74,141,8,81085,2909,1,0
2024-09-01,1,35,summer,urban,bachelor,swimming,,,296,54,9,28307,3203,1,0
2024-09-01,2,68,spring,suburban,high school,sunbathing,,,223,16,0,67098,3691,1,1
2024-09-01,1,59,spring,urban,master,skiing,,,8,132,6,69856,4672,1,1
2024-09-01,1,46,fall,rural,bachelor,hiking,,,56,232,3,69476,4711,0,0
2024-09-01,0,42,spring,rural,master,hiking,,,137,200,7,51446,1828,0,0
2024-09-01,0,38,summer,urban,doctorate,sunbathing,,,156,288,7,77349,1774,0,0
2024-09-01,0,63,fall,rural,doctorate,hiking,,,136,219,8,37453,2509,0,0
2024-09-01,2,20,winter,suburban,master,sunbathing,,,236,224,4,59977,2363,0,0
2024-09-01,1,35,fall,urban,master,sunbathing,,,80,166,4,65767,1541,1,1
2024-09-01,2,41,summer,urban,doctorate,skiing,,,201,93,6,93916,1989,1,1
2024-09-01,1,64,spring,rural,high school,skiing,,,26,171,2,53822,3091,0,0
2024-09-01,1,55,summer,suburban,master,skiing,,,252,279,7,73198,681,0,0
2024-09-01,2,27,summer,urban,doctorate,swimming,,,264,172,8,87001,3569,1,0
2024-09-01,2,44,spring,urban,high school,skiing,,,188,249,9,77632,3948,0,1
2024-09-01,1,29,fall,rural,bachelor,swimming,,,128,242,0,80723,2508,0,1
2024-09-01,2,24,winter,rural,high school,sunbathing,,,96,242,7,39302,2662,1,0
2024-09-01,0,34,fall,rural,doctorate,sunbathing,,,22,209,9,47935,4959,1,0
2024-09-01,1,18,fall,suburban,master,swimming,,,238,50,1,85077,1969,1,1
2024-09-01,0,67,winter,suburban,bachelor,skiing,,,112,17,1,83104,3919,0,1
2024-09-01,2,43,winter,suburban,master,skiing,,,127,45,2,39844,2814,0,0
2024-09-01,0,32,summer,suburban,bachelor,skiing,,,135,178,0,81845,4035,1,0
2024-09-01,2,68,winter,rural,bachelor,hiking,,,29,34,2,92670,1427,1,1
2024-09-01,0,50,winter,suburban,high school,swimming,,,265,290,5,103956,2572,1,1
2024-09-01,2,54,spring,urban,master,swimming,,,0,140,5,102564,1356,1,0
2024-09-01,1,64,summer,rural,doctorate,swimming,,,97,194,3,24165,2605,0,1
2024-09-01,1,48,fall,rural,bachelor,hiking,,,8,187,2,41310,544,0,1
2024-09-01,1,52,spring,rural,master,sunbathing,,,261,45,5,103693,4137,1,0
2024-09-01,1,18,spring,suburban,high school,skiing,,,147,215,6,42205,1099,0,0
2024-09-01,2,25,fall,suburban,high school,skiing,,,133,212,8,46407,962,1,0
2024-09-01,0,29,winter,urban,master,swimming,,,178,218,1,64133,1373,1,1
2024-09-01,1,36,fall,rural,bachelor,hiking,,,201,270,2,97544,1999,1,0
2024-09-01,2,42,spring,urban,high school,sunbathing,,,36,109,3,98254,1351,1,1
2024-09-01,2,49,spring,suburban,high school,skiing,,,167,294,7,92015,4144,0,1
2024-09-01,1,29,fall,urban,doctorate,swimming,,,53,25,9,41815,2042,0,0
2024-09-01,1,30,summer,suburban,bachelor,skiing,,,200,139,1,111931,3865,0,1
2024-09-01,2,45,spring,urban,doctorate,swimming,,,101,94,3,20055,4594,0,0
2024-09-01,0,18,spring,suburban,bachelor,hiking,,,57,62,1,49696,4808,1,1
2024-09-01,2,68,summer,rural,high school,skiing,,,106,254,4,41713,4222,0,1
2024-09-01,1,23,summer,urban,high school,skiing,,,96,93,8,101981,4064,1,1
2024-09-01,1,25,summer,rural,doctorate,skiing,,,128,291,5,113926,4907,0,0
2024-09-01,1,21,fall,suburban,bachelor,swimming,,,58,19,4,89801,3231,0,1
2024-09-01,0,22,fall,rural,high school,swimming,,,125,86,5,118478,3373,1,1
2024-09-01,0,42,summer,urban,master,hiking,,,182,233,2,111253,1959,0,0
2024-09-01,0,39,winter,suburban,high school,swimming,,,81,181,4,60740,1679,0,1
2024-09-01,2,45,fall,urban,doctorate,skiing,,,235,25,5,71906,4015,0,1
2024-09-01,2,56,summer,urban,master,skiing,,,235,137,1,35900,1455,0,0
2024-09-01,0,40,winter,suburban,bachelor,swimming,,,48,162,8,24867,1337,0,0
2024-09-01,0,21,spring,rural,master,sunbathing,,,156,237,7,45054,627,1,1
2024-09-01,1,69,summer,urban,bachelor,hiking,,,69,110,7,74922,1549,0,0
2024-09-01,1,21,fall,rural,bachelor,swimming,,,196,115,0,105533,3357,1,1
2024-09-01,2,64,spring,suburban,master,swimming,,,210,172,8,45166,4528,1,1
2024-09-01,0,38,winter,urban,doctorate,sunbathing,,,114,161,2,22638,898,1,1
2024-09-01,0,54,summer,urban,bachelor,skiing,,,216,14,2,71897,4594,0,0
2024-09-01,2,58,summer,urban,doctorate,sunbathing,,,93,91,6,106687,4561,0,0
2024-09-01,0,19,fall,urban,master,sunbathing,,,188,98,4,35004,1947,1,0
